laua,rgn,ctry,ctry_name,surge,m0,m1,f0,f1
local_authority_unitary_authority_code,region_code,country code,country name,0,334,346,604.5213708,621.3963515
alphanumeric,9 digit alphanumeric,9 digit alphanumeric,string,0,468,449,88.12197785,91.0923816
N09000003,N99999999,N92000002,Northern Ireland,0,513,439,530.2306306,547.0790806
N09000003,N99999999,N92000002,Northern Ireland,0,576,512,126.6188443,124.6248467
N09000004,N99999999,N92000002,Northern Ireland,0,984.9199157,1006,493.6140762,523.1129254
E06000001,E12000001,E92000001,England,0,726,755,1530.113916,1652.324314
E06000002,E12000001,E92000001,England,0,349,333,396.5347087,399.3874764
E06000003,E12000001,E92000001,England,0,612.360515,612,1196.549768,1159.822069
W06000001,W99999999,W92000004,Wales,0,552.0107335,573.0465116,1406.389562,1409.350382
W06000002,W99999999,W92000004,Wales,0,508.0694698,537,351.10133,371.6966594
W06000003,W99999999,W92000004,Wales,0,833,827,2480.652093,2522.161012
W06000004,W99999999,W92000004,Wales,0,671.8524403,697.390691,862.4606535,834.6713574
W06000005,W99999999,W92000004,Wales,0,558.829564,522.6814978,484.3186683,447.5223834
S12000008,S99999999,S92000003,Scotland,0,453.2125183,509.115384,949.0701877,961.0458367
S12000010,S99999999,S92000003,Scotland,0,123.0232389,106.1571497,493.4904287,493.4904287
